Estado;Periodo de Cierre;Codigo de Contrato;Monto;Monto Solarizado;Monto Desembolsado;Monto Desembolsado Solarizado;Comision;Comision Solarizada;Plazo;Moneda;Tasa de Interes;Esquema;Riesgo;Provincia Propiedad;Distrito Propiedad;Tipo de Propiedad;Valuacion Propiedad;Valuacion en Soles;Total Ganado Esperado;Total Ganado;Numero de Reservaciones;Ratio (%);LTV;Safety Buffer;Fecha de Creacion;Fecha de Cierre;Dias de Cierre;Etapa del Negocio;Canal;Tipo de Fondo;Es Fast Track;Tipo de Cambio Contable;Flag Contrato Cerrado;Ratio Comision/Monto;Flag Alta Demanda;Ano;¿Aplica propuesta?;Marca_15_Mayo_Creacion;Marca_15_Mayo_Cierre;COMISION SD. NO FT PCT IDEAL;COMISION SD. NO FT PCT MIN;COMISION SD. NO FT MONTO IDEAL;COMISION SD. NO FT MONTO MIN;COMISION CD. NO FT MONTO IDEAL;COMISION CD. NO FT MONTO MIN;COMISION SD. SI FT PCT IDEAL;COMISION SD. SI FT PCT MIN;COMISION SD. SI FT MONTO IDEAL;COMISION SD. SI FT MONTO MIN;COMISION CD. SI FT MONTO IDEAL;COMISION CD. SI FT MONTO MIN;Es Caso en Seguimiento;Ratio_Comision_Real_Ideal;Dominios_Matematicos;Dominio_Final;Marca_25_abril_Creacion;Marca_25_abril_Cierre;AJUSTADA COMISION SD. NO FT MONTO IDEAL;Comision Final;Condicion Fuerte es Caso en Seguimiento
CONTRATO CERRADO / DESEMBOLSO;202603;P04810;50000,0;50000,0;63750,0;63750,0;13750,0;13750,0;48;PEN;1,57;Cuota Fija;Medio;LIMA;SAN MARTIN DE PORRES;casa;209705,0;;63750,0;63750,0;;0,082162;0,082162;0,917838;2025-09-16 20:44:43;2026-03-20 23:29:03;185;CONTRATO CERRADO / DESEMBOLSO;Digital;Inversionista P2P;False;3,538;SI;0,275;;2026;True;No;No;0,275;0,24500000000000002;13750,000000000002;12250,000000000002;15000,0;13250,000000000007;0,295;0,265;14750,0;13250,0;16000,0;14250,000000000007;True;0,9999999999999999;D1, D2, D3;D1 o D2 (Solapado - Verificar Descuento);No;No;12375,000000000002;;False
CONTRATO CERRADO / DESEMBOLSO;202601;P04597;150000,0;150000,0;153390,0;153390,0;3390,0;3390,0;72;PEN;3,12;Cuota Fija;Bajo Medio;TRUJILLO;LAREDO;;131292,0;;153390,0;153390,0;;0,31576;0,31576;0,68424;2025-10-16 03:31:00;2026-01-05 21:52:40;81;CONTRATO CERRADO / DESEMBOLSO;Presencial;Fondos privados;False;3,457;SI;0,0226;;2026;False;No;No;0,135;0,10500000000000001;20250,0;15750,000000000002;29250,0;24750,0;0,14;0,11;21000,000000000004;16500,0;30000,0;25500,0;False;0,1674074074074074;Fuera de Rango;Fuera de Rango (No FT);No;No;18225,0;;False
CONTRATO CERRADO / DESEMBOLSO;202601;P04590;40000,0;40000,0;51000,0;51000,0;11000,0;11000,0;72;PEN;1,5;Cuota Fija;Bajo Medio;CALLAO;CALLAO;casa;100524,0;;51000,0;51000,0;;0,137119;0,137119;0,862881;2025-10-24 21:34:04;2026-01-08 19:39:15;75;CONTRATO CERRADO / DESEMBOLSO;Digital;Inversionista P2P;True;3,506;SI;0,275;;2026;True;No;No;0,275;0,24500000000000002;11000,0;9800,000000000002;13200,0;11800,0;0,305;0,27;12200,0;10800,0;14399,999999999993;12800,0;True;1,0;D1, D3;D3;No;No;9900,0;;False
CONTRATO CERRADO / DESEMBOLSO;202603;P04823;49000,0;49000,0;62720,0;62720,0;13720,0;13720,0;36;PEN;1,56;Cuota Fija;Moderado Medio;LIMA;EL AGUSTINO;terreno;122853,0;;62720,0;62720,0;;0,137981;0,137981;0,862019;2025-11-13 23:11:01;2026-03-24 23:13:34;131;CONTRATO CERRADO / DESEMBOLSO;Digital;Inversionista P2P;True;3,457;SI;0,28;;2026;True;No;No;0,29;0,255;14209,999999999998;12495,0;15680,0;13965,000000000007;0,31;0,275;15190,0;13475,000000000002;16660,0;14945,0;True;0,9655172413793105;D1, D3;D3;No;No;12788,999999999998;;False
CONTRATO CERRADO / DESEMBOLSO;202601;P04626;30618,980000000003;30618,980000000003;32881,73;32881,73;2262,75;2262,75;60;PEN;2,09;Cuota Fija;Bajo Medio;LIMA;SAN MARTIN DE PORRES;;30335,0;;32881,73;32881,73;;0,292961;0,292961;0,707039;2025-11-17 19:26:10;2026-01-17 14:31:01;60;CONTRATO CERRADO / DESEMBOLSO;Digital;Fondos privados;False;1,0;SI;0,0739002409616518;;2026;False;No;No;0,295;0,265;9032,599100000001;8114,029700000001;10410,453200000004;9491,883800000003;0,32;0,29;9798,073600000002;8879,504200000001;11175,9277;10257,3583;False;0,2505092913954301;Fuera de Rango;Fuera de Rango (No FT);No;No;8129,3391900000015;;False
CONTRATO CERRADO / DESEMBOLSO;202601;P04600;140000,0;140000,0;142086,0;142086,0;2086,0;2086,0;36;PEN;2,85;Cuota Fija;Moderado Medio;HUANCAYO;EL TAMBO;casa;102476,0;;142086,0;142086,0;;0,374738;0,374738;0,625262;2025-11-22 14:03:46;2026-01-09 14:03:55;48;CONTRATO CERRADO / DESEMBOLSO;Digital;Fondos privados;False;3,457;SI;0,0149;;2026;False;No;No;0,15;0,11499999999999999;21000,0;16099,999999999998;25200,0;19600,00000000003;0,155;0,12;21700,0;16800,0;25900,0;20300,0;False;0,09933333333333333;Fuera de Rango;Fuera de Rango (No FT);No;No;18900,0;;False
CONTRATO CERRADO / DESEMBOLSO;202603;P04789;100000,0;100000,0;102600,0;102600,0;2600,0;2600,0;60;PEN;3,0;Cuota Fija;Moderado;CAÑETE;CHILCA;;153615,0;;102600,0;102600,0;;0,180515;0,180515;0,819485;2025-11-27 16:14:39;2026-03-09 13:47:05;101;CONTRATO CERRADO / DESEMBOLSO;Presencial;Fondos privados;False;3,414;SI;0,026;;2026;False;No;No;0,175;0,135;17500,0;13500,0;19000,0;14999,999999999985;0,185;0,145;18500,0;14499,999999999998;20000,0;15999,999999999985;False;0,14857142857142858;Fuera de Rango;Fuera de Rango (No FT);No;No;15750,0;;False
CONTRATO CERRADO / DESEMBOLSO;202601;P04583;22000,0;22000,0;29260,0;29260,0;7260,0;7260,0;48;PEN;1,37;Cuota Fija;Moderado;LIMA;SANTA ANITA;departamento;21812,0;;29260,0;29260,0;;0,362558;0,362558;0,6374420000000001;2025-12-01 14:10:30;2026-01-03 14:20:28;33;CONTRATO CERRADO / DESEMBOLSO;Digital;Inversionista P2P;False;3,414;SI;0,33;;2026;True;No;No;0,32999999999999996;0,31;7259,999999999999;6820,0;7700,000000000004;7150,0;0,355;0,335;7810,0;7370,0;8250,0;7700,000000000004;True;1,0000000000000002;D1, D2;D2;No;No;6533,999999999999;7260,0;False
CONTRATO CERRADO / DESEMBOLSO;202601;P04623;40000,0;40000,0;41492,0;41492,0;1492,0;1492,0;72;PEN;2,92;Cuota Fija;Moderado Medio;SANTA;CHIMBOTE;departamento;49878,0;;41492,0;41492,0;;0,22483;0,22483;0,77517;2025-12-02 15:14:04;2026-01-15 14:26:44;43;CONTRATO CERRADO / DESEMBOLSO;Digital;Fondos privados;False;3,414;SI;0,0373;;2026;False;No;No;0,265;0,23500000000000001;10600,0;9400,0;12400,0;11200,0;0,295;0,265;11800,0;10600,0;13800,0;12400,0;False;0,14075471698113207;Fuera de Rango;Fuera de Rango (No FT);No;No;9540,0;;False
CONTRATO CERRADO / DESEMBOLSO;202601;P04598;26000,0;26000,0;29003,0;29003,0;3003,0;3003,0;48;PEN;2,62;Cuota Fija;Moderado;LIMA;CERCADO;;55750,0;;29003,0;29003,0;;0,140604;0,140604;0,859396;2025-12-05 16:54:07;2026-01-06 13:25:24;31;CONTRATO CERRADO / DESEMBOLSO;Presencial;Fondos privados;True;1,0;SI;0,1155;;2026;False;No;No;0,30999999999999994;0,29;8059,999999999998;7539,999999999999;8580,0;7930,0;0,335;0,315;8710,0;8190,0;9230,0;8580,0;False;0,3725806451612904;Fuera de Rango;Fuera de Rango (FT);No;No;7253,999999999998;;False
